id,section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans,created_at
17098,AI & ML,ML,Easy,What does ML stand for?,Machine Learning,Machine Logic,Model Learning,Mathematical Learning,A,2026-07-05 11:34:19.606476+05:30
17099,AI & ML,ML,Easy,Which type of ML uses labeled data?,Supervised,Unsupervised,Reinforcement,Semi-supervised,A,2026-07-05 11:34:19.606476+05:30
17100,AI & ML,ML,Easy,Which type of ML uses unlabeled data?,Unsupervised,Supervised,Reinforcement,Transfer,A,2026-07-05 11:34:19.606476+05:30
17101,AI & ML,ML,Medium,"In reinforcement learning, the agent learns through:",Rewards and penalties,Labeled examples,Clustering,Feature extraction,A,2026-07-05 11:34:19.606476+05:30
17102,AI & ML,ML,Medium,What is overfitting?,Model performs well on training but poorly on test data,Model performs poorly on all data,Model trains too slowly,Model has too few parameters,A,2026-07-05 11:34:19.606476+05:30
17103,AI & ML,ML,Medium,What is underfitting?,Model fails to capture patterns,Model memorizes training data,Too many parameters,Trains too fast,A,2026-07-05 11:34:19.606476+05:30
17104,AI & ML,ML,Hard,What is the bias-variance tradeoff?,Reducing bias increases variance and vice versa,Both should be maximized,Both should be minimized,They are independent,A,2026-07-05 11:34:19.606476+05:30
17105,AI & ML,ML,Easy,Which metric measures proportion of correct predictions?,Accuracy,Precision,Recall,F1-Score,A,2026-07-05 11:34:19.606476+05:30
17106,AI & ML,ML,Medium,Precision = ?,TP/(TP+FP),TP/(TP+FN),TN/(TN+FP),FP/(FP+TN),A,2026-07-05 11:34:19.606476+05:30
17107,AI & ML,ML,Medium,Recall = ?,TP/(TP+FN),TP/(TP+FP),TN/(TN+FN),FN/(FN+TP),A,2026-07-05 11:34:19.606476+05:30
17108,AI & ML,ML,Medium,F1-Score is:,Harmonic mean of Precision and Recall,Arithmetic mean,Product,Sum,A,2026-07-05 11:34:19.606476+05:30
17109,AI & ML,ML,Hard,What does AUC-ROC measure?,Model's ability to distinguish classes,Training time,Feature importance,Parameter count,A,2026-07-05 11:34:19.606476+05:30
17110,AI & ML,ML,Medium,Cross-validation helps in:,Robust model evaluation,Speed improvement,Feature selection only,Dataset reduction,A,2026-07-05 11:34:19.606476+05:30
17111,AI & ML,ML,Medium,What is k-fold cross-validation?,Data split into k equal parts; each used as validation once,k random splits,Train-test only,Thirds,A,2026-07-05 11:34:19.606476+05:30
17112,AI & ML,ML,Medium,Purpose of a validation set:,Tune hyperparameters during training,Test final performance,Increase training data,Directly reduce overfitting,A,2026-07-05 11:34:19.606476+05:30
17113,AI & ML,ML,Medium,L1 regularization is:,Lasso,Ridge,Elastic Net,Dropout,A,2026-07-05 11:34:19.606476+05:30
17114,AI & ML,ML,Medium,L2 regularization is:,Ridge,Lasso,Elastic Net,Batch Norm,A,2026-07-05 11:34:19.606476+05:30
17115,AI & ML,ML,Medium,Dropout in neural networks:,Prevents overfitting,Speeds up training,Adds data,Increases complexity,A,2026-07-05 11:34:19.606476+05:30
17116,AI & ML,ML,Medium,Feature engineering means:,Creating/transforming features to improve model,Selecting best model,Hyperparameter tuning,Data cleaning only,A,2026-07-05 11:34:19.606476+05:30
17117,AI & ML,ML,Medium,What is a hyperparameter?,Set before training; not learned,Learned from data,Dataset size,Model accuracy,A,2026-07-05 11:34:19.606476+05:30
17118,AI & ML,ML,Medium,Gradient descent minimizes:,Loss function,Accuracy,Feature count,Data size,A,2026-07-05 11:34:19.606476+05:30
17119,AI & ML,ML,Medium,Learning rate controls:,Step size in parameter updates,Iteration count,Batch size,Network depth,A,2026-07-05 11:34:19.606476+05:30
17120,AI & ML,ML,Medium,Batch gradient descent:,Uses entire dataset per update,Uses one sample,Uses mini-batches,Uses no samples,A,2026-07-05 11:34:19.606476+05:30
17121,AI & ML,ML,Medium,SGD (Stochastic Gradient Descent):,Uses one sample per update,Uses full dataset,Uses batches,Uses half data,A,2026-07-05 11:34:19.606476+05:30
17122,AI & ML,ML,Easy,Mini-batch GD uses:,A subset per update,Full dataset,One sample,Half data,A,2026-07-05 11:34:19.606476+05:30
17123,AI & ML,ML,Hard,Vanishing gradient problem:,Gradients too small to update early layers,Gradients too large,Model fails to converge,Accuracy drops,A,2026-07-05 11:34:19.606476+05:30
17124,AI & ML,ML,Medium,Most common hidden layer activation in deep nets:,ReLU,Sigmoid,Tanh,Softmax,A,2026-07-05 11:34:19.606476+05:30
17125,AI & ML,ML,Medium,Softmax used in output for:,Multiclass classification,Binary classification,Regression,Clustering,A,2026-07-05 11:34:19.606476+05:30
17126,AI & ML,ML,Medium,KNN default distance metric:,Euclidean,Manhattan,Cosine,Minkowski,A,2026-07-05 11:34:19.606476+05:30
17127,AI & ML,ML,Easy,'K' in KNN represents:,Number of nearest neighbors,Number of features,Number of clusters,Kernel parameter,A,2026-07-05 11:34:19.606476+05:30
17128,AI & ML,ML,Hard,KNN is an example of:,Lazy learning,Eager learning,Deep learning,Reinforcement learning,A,2026-07-05 11:34:19.606476+05:30
17129,AI & ML,ML,Medium,SVM finds:,Optimal hyperplane maximizing margin,Best cluster centroids,Decision tree splits,Regression line,A,2026-07-05 11:34:19.606476+05:30
17130,AI & ML,ML,Hard,Kernel trick in SVM:,Non-linear classification in transformed space,Faster training,Larger margins,Less memory,A,2026-07-05 11:34:19.606476+05:30
17131,AI & ML,ML,Hard,Naive Bayes assumes:,Features conditionally independent given class,Features correlated,Normal distribution,Binary features,A,2026-07-05 11:34:19.606476+05:30
17132,AI & ML,ML,Easy,Random Forest is ensemble of:,Decision Trees,SVMs,Neural Networks,K-Means,A,2026-07-05 11:34:19.606476+05:30
17133,AI & ML,ML,Medium,Boosting trains models to:,Correct errors of previous models,Extract features,Create clusters,Label data,A,2026-07-05 11:34:19.606476+05:30
17134,AI & ML,ML,Easy,XGBoost stands for:,Extreme Gradient Boosting,Extended Gradient Boosting,Extra Gradient Boosting,Exponential Gradient Boosting,A,2026-07-05 11:34:19.606476+05:30
17135,AI & ML,ML,Hard,Bagging reduces:,Variance,Bias,Training time,Overfitting only,A,2026-07-05 11:34:19.606476+05:30
17136,AI & ML,ML,Easy,Confusion matrix summarizes:,Classification performance via TP/FP/TN/FN,Feature importance,Training loss,Epochs,A,2026-07-05 11:34:19.606476+05:30
17137,AI & ML,ML,Hard,False Positive (FP) is also called:,Type I error,Type II error,True error,System error,A,2026-07-05 11:34:19.606476+05:30
17138,AI & ML,ML,Hard,False Negative (FN) is also called:,Type II error,Type I error,False error,Zero error,A,2026-07-05 11:34:19.606476+05:30
17139,AI & ML,ML,Hard,Best metric for imbalanced datasets:,F1-Score or AUC-ROC,Accuracy,MSE,R²,A,2026-07-05 11:34:19.606476+05:30
17140,AI & ML,ML,Easy,Data normalization:,Scales features to same range,Removes missing values,Selects features,Encodes labels,A,2026-07-05 11:34:19.606476+05:30
17141,AI & ML,ML,Easy,Min-Max scaling range:,"[0, 1]","[-1, 1]","[0, ∞)","N(0,1)",A,2026-07-05 11:34:19.606476+05:30
17142,AI & ML,ML,Medium,Z-score standardization produces:,"Mean 0, std 1","Range [0,1]","Range [-1,1]",Max 1,A,2026-07-05 11:34:19.606476+05:30
17143,AI & ML,ML,Hard,Isolation Forest is used for:,Anomaly detection,Classification,Regression,Clustering,A,2026-07-05 11:34:19.606476+05:30
17144,AI & ML,ML,Medium,Transfer learning:,Reuses pre-trained model for new tasks,Trains from scratch,Clusters data,Augments data,A,2026-07-05 11:34:19.606476+05:30
17145,AI & ML,ML,Medium,Dimensionality reduction:,Reduces features while retaining info,Increases accuracy,Improves precision,Adds features,A,2026-07-05 11:34:19.606476+05:30
17146,AI & ML,ML,Medium,PCA is a ___ dimensionality reduction technique:,Linear,Non-linear,Supervised,Probabilistic,A,2026-07-05 11:34:19.606476+05:30
17147,AI & ML,ML,Easy,PCA = ?,Principal Component Analysis,Partial Component Analysis,Principal Class Algorithm,Predictive Component Analysis,A,2026-07-05 11:34:19.606476+05:30
17148,AI & ML,ML,Medium,t-SNE is primarily for:,Data visualization in 2D/3D,Feature selection,Model training,Prediction,A,2026-07-05 11:34:19.606476+05:30
17149,AI & ML,ML,Hard,GAN consists of:,Generator and Discriminator,Encoder and Decoder,Conv and Pooling layers,Input and Output layers,A,2026-07-05 11:34:19.606476+05:30
17150,AI & ML,ML,Hard,Generator's goal in GAN:,Fool the discriminator,Classify inputs,Minimize loss directly,Select features,A,2026-07-05 11:34:19.606476+05:30
17151,AI & ML,ML,Medium,Elbow Method is used for:,Optimal number of clusters,Learning rate,Feature selection,Data splitting,A,2026-07-05 11:34:19.606476+05:30
17152,AI & ML,ML,Hard,Silhouette score evaluates:,Cluster quality,Model accuracy,Feature importance,Training loss,A,2026-07-05 11:34:19.606476+05:30
17153,AI & ML,ML,Hard,DBSCAN doesn't require specifying:,Number of clusters,Distance metric,Minimum points,Epsilon,A,2026-07-05 11:34:19.606476+05:30
17154,AI & ML,ML,Easy,K-Means assigns clusters by:,Distance to centroids,Label similarity,Density,Tree splits,A,2026-07-05 11:34:19.606476+05:30
17155,AI & ML,ML,Medium,Hierarchical clustering produces:,A dendrogram,Cluster centers,Feature weights,Class probabilities,A,2026-07-05 11:34:19.606476+05:30
17156,AI & ML,ML,Medium,Association rule mining finds:,Co-occurring items in transactions,Classifications,Continuous predictions,Anomalies,A,2026-07-05 11:34:19.606476+05:30
17157,AI & ML,ML,Medium,Apriori mines:,Frequent itemsets,Neural network weights,Decision boundaries,Principal components,A,2026-07-05 11:34:19.606476+05:30
17158,AI & ML,ML,Medium,Support in association rules:,Frequency of itemset in dataset,Confidence level,Number of rules,Lift value,A,2026-07-05 11:34:19.606476+05:30
17159,AI & ML,ML,Medium,Confidence in association rules:,P(B|A),P(A),P(A∩B),P(A∪B),A,2026-07-05 11:34:19.606476+05:30
17160,AI & ML,ML,Hard,Lift > 1 indicates:,Positive correlation between items,Negative correlation,No correlation,High support,A,2026-07-05 11:34:19.606476+05:30
17161,AI & ML,ML,Easy,MSE is used for:,Regression evaluation,Classification,Clustering,Dimensionality reduction,A,2026-07-05 11:34:19.606476+05:30
17162,AI & ML,ML,Easy,R² = 1 means:,Perfect fit,No fit,50% variance explained,Random prediction,A,2026-07-05 11:34:19.606476+05:30
17163,AI & ML,ML,Hard,Negative R² means:,Model worse than horizontal baseline,Perfect fit,Overfitting,100% variance explained,A,2026-07-05 11:34:19.606476+05:30
17164,AI & ML,ML,Easy,MAE = ?,Mean Absolute Error,Maximum Absolute Error,Mean Accuracy Error,Model Absolute Evaluation,A,2026-07-05 11:34:19.606476+05:30
17165,AI & ML,ML,Medium,RMSE penalizes:,Large errors more than MAE,Small errors,All errors equally,Zero errors,A,2026-07-05 11:34:19.606476+05:30
17166,AI & ML,ML,Medium,Learning curve shows:,Model performance vs training data size,Loss over epochs,Feature importance,Confusion matrix,A,2026-07-05 11:34:19.606476+05:30
17167,AI & ML,ML,Medium,Grid search:,Finds best hyperparameter combination exhaustively,Trains faster,Selects features,Reduces overfitting,A,2026-07-05 11:34:19.606476+05:30
17168,AI & ML,ML,Hard,Random search is better than grid search when:,Search space is very large,Data is small,Model is linear,Few features,A,2026-07-05 11:34:19.606476+05:30
17169,AI & ML,ML,Hard,Bayesian optimization uses:,Prior knowledge + likelihood,Random sampling,Full grid,Manual tuning,A,2026-07-05 11:34:19.606476+05:30
17170,AI & ML,ML,Hard,Feature importance in Random Forest:,Mean decrease in impurity,Correlation with label,PCA loading,Gradient magnitude,A,2026-07-05 11:34:19.606476+05:30
17171,AI & ML,ML,Easy,Logistic Regression output:,Probability between 0 and 1,Real-valued number,Cluster assignment,Decision tree node,A,2026-07-05 11:34:19.606476+05:30
17172,AI & ML,ML,Medium,Sigmoid function maps to:,"(0, 1)","(-∞, ∞)","[0, ∞)","[-1, 1]",A,2026-07-05 11:34:19.606476+05:30
17173,AI & ML,ML,Easy,One-hot encoding:,Encodes categorical variables as binary vectors,Scales numerical data,Reduces dimensions,Handles missing values,A,2026-07-05 11:34:19.606476+05:30
17174,AI & ML,ML,Easy,Label encoding:,Assigns integers to categories,Splits data,Normalizes labels,Removes labels,A,2026-07-05 11:34:19.606476+05:30
17175,AI & ML,ML,Hard,Data leakage:,Test set info leaks into training,Mislabeled data,Overfitting,Missing data,A,2026-07-05 11:34:19.606476+05:30
17176,AI & ML,ML,Medium,Stratified sampling:,Preserves class distribution in samples,Random sampling,Systematic sampling,Cluster sampling,A,2026-07-05 11:34:19.606476+05:30
17177,AI & ML,ML,Hard,Time series should be split:,"By time order, not randomly",Randomly,Stratified,K-fold,A,2026-07-05 11:34:19.606476+05:30
17178,AI & ML,ML,Hard,No Free Lunch theorem:,No single algorithm best for all problems,More data always helps,Deep learning always wins,Simpler is always better,A,2026-07-05 11:34:19.606476+05:30
17179,AI & ML,ML,Hard,Occam's Razor in ML:,Prefer simpler models if they explain data well,Complex is better,More features improve,Training longer helps,A,2026-07-05 11:34:19.606476+05:30
17180,AI & ML,ML,Easy,Most interpretable algorithm:,Decision Tree,Neural Network,SVM-RBF,XGBoost,A,2026-07-05 11:34:19.606476+05:30
17181,AI & ML,ML,Medium,Early stopping:,Stops training when validation loss increases,Speeds up training,Improves accuracy,Reduces bias,A,2026-07-05 11:34:19.606476+05:30
17182,AI & ML,ML,Easy,Most popular traditional ML library in Python:,scikit-learn,TensorFlow,PyTorch,Keras,A,2026-07-05 11:34:19.606476+05:30
17183,AI & ML,ML,Easy,fit() in scikit-learn:,Trains the model on data,Makes predictions,Evaluates model,Preprocesses data,A,2026-07-05 11:34:19.606476+05:30
17184,AI & ML,ML,Easy,predict() in scikit-learn:,Generates predictions on new data,Trains model,Evaluates accuracy,Transforms features,A,2026-07-05 11:34:19.606476+05:30
17185,AI & ML,ML,Medium,score() in scikit-learn returns:,Accuracy (classifiers) or R² (regressors),Training loss,Feature importance,Validation loss,A,2026-07-05 11:34:19.606476+05:30
17186,AI & ML,ML,Medium,What is the purpose of scikit-learn's Pipeline?,Chains preprocessing and model steps,Creates neural nets,Handles databases,Plots results,A,2026-07-05 11:34:19.606476+05:30
17187,AI & ML,ML,Easy,A model with low training error but high test error is:,Overfitting,Underfitting,Well-generalized,Unbiased,A,2026-07-05 11:34:19.606476+05:30
17188,AI & ML,ML,Easy,A model with high training AND test error is:,Underfitting,Overfitting,Well-generalized,Regularized,A,2026-07-05 11:34:19.606476+05:30
17189,AI & ML,ML,Easy,Which of these is a distance-based algorithm?,KNN,Naive Bayes,Decision Tree,Logistic Regression,A,2026-07-05 11:34:19.606476+05:30
17190,AI & ML,ML,Hard,Which algorithm works best with high-dimensional sparse data?,Naive Bayes,KNN,SVM-linear or Naive Bayes,K-Means,C,2026-07-05 11:34:19.606476+05:30
17191,AI & ML,ML,Hard,What is the curse of dimensionality?,"As dimensions increase, data becomes sparse and distances less meaningful",More dimensions always help,Dimensions reduce model accuracy,Dimensions slow training,A,2026-07-05 11:34:19.606476+05:30
17192,AI & ML,ML,Hard,Ensemble methods combine models to:,Reduce bias AND variance compared to any single model,Only reduce variance,Only reduce bias,Increase interpretability,A,2026-07-05 11:34:19.606476+05:30
17193,AI & ML,ML,Medium,What does 'fit' mean in the context of a scikit-learn transformer?,Learns transformation parameters from training data,Applies the transformation,Creates a new dataset,Validates the data,A,2026-07-05 11:34:19.606476+05:30
17194,AI & ML,Python,Easy,Python is:,"High-level, interpreted, general-purpose language",Low-level compiled language,Markup language,Database language,A,2026-07-05 11:34:19.606476+05:30
17195,AI & ML,Python,Easy,Python's data type for ordered mutable collection:,list,tuple,set,dict,A,2026-07-05 11:34:19.606476+05:30
17196,AI & ML,Python,Easy,Python's data type for ordered immutable collection:,tuple,list,set,frozenset,A,2026-07-05 11:34:19.606476+05:30
17197,AI & ML,Python,Easy,Python's data type for unordered unique elements:,set,list,tuple,dict,A,2026-07-05 11:34:19.606476+05:30
17198,AI & ML,Python,Easy,Python dictionary is:,Unordered key-value pairs (ordered insertion in Python 3.7+),Ordered list,Fixed-size array,Sorted collection,A,2026-07-05 11:34:19.606476+05:30
17199,AI & ML,Python,Easy,Output of type(42):,<class 'int'>,<class 'float'>,<class 'str'>,<class 'num'>,A,2026-07-05 11:34:19.606476+05:30
17200,AI & ML,Python,Easy,Output of type(3.14):,<class 'float'>,<class 'int'>,<class 'double'>,<class 'number'>,A,2026-07-05 11:34:19.606476+05:30
17201,AI & ML,Python,Easy,What is list comprehension?,Creates list using concise one-line expression,Creates dictionary,Deletes list elements,Filters None values,A,2026-07-05 11:34:19.606476+05:30
17202,AI & ML,Python,Easy,"Output of len([1,2,3,4]):",4,3,5,Error,A,2026-07-05 11:34:19.606476+05:30
17203,AI & ML,Python,Easy,Keyword to define a function:,def,function,func,define,A,2026-07-05 11:34:19.606476+05:30
17204,AI & ML,Python,Medium,*args allows:,Variable number of positional arguments,Keyword arguments only,No arguments,Fixed arguments,A,2026-07-05 11:34:19.606476+05:30
17205,AI & ML,Python,Medium,**kwargs allows:,Variable number of keyword arguments,Positional arguments,Default only,No extras,A,2026-07-05 11:34:19.606476+05:30
17206,AI & ML,Python,Medium,Lambda function is:,Anonymous single-expression function,Named function,Class method,Generator,A,2026-07-05 11:34:19.606476+05:30
17207,AI & ML,Python,Medium,map() does:,Applies function to each item in iterable,Filters elements,Reduces to one value,Sorts elements,A,2026-07-05 11:34:19.606476+05:30
17208,AI & ML,Python,Medium,filter() does:,Returns elements where function returns True,Applies to all,Reduces to one value,Maps and filters,A,2026-07-05 11:34:19.606476+05:30
17209,AI & ML,Python,Hard,Generator in Python:,Function that yields values one at a time,Function returning list,Class for objects,List comprehension variant,A,2026-07-05 11:34:19.606476+05:30
17210,AI & ML,Python,Easy,List vs Tuple key difference:,"Lists mutable, tuples immutable",Both mutable,Both immutable,"Tuples mutable, lists not",A,2026-07-05 11:34:19.606476+05:30
17211,AI & ML,Python,Medium,'with' statement:,"Manages context (e.g., file handling)",Creates new function,Defines class,Loops over items,A,2026-07-05 11:34:19.606476+05:30
17212,AI & ML,Python,Hard,Decorator in Python:,Function that modifies another function,Class attribute,Loop modifier,Module importer,A,2026-07-05 11:34:19.606476+05:30
17213,AI & ML,Python,Hard,GIL (Global Interpreter Lock):,Allows only one thread to run Python bytecode at a time,Locks database,Security feature,Memory manager,A,2026-07-05 11:34:19.606476+05:30
17214,AI & ML,Python,Easy,'pass' in Python:,Does nothing; placeholder,Breaks loop,Skips iteration,Returns None,A,2026-07-05 11:34:19.606476+05:30
17215,AI & ML,Python,Medium,"Output of range(2,10,3):","range producing [2,5,8]","[2,4,6,8]","[3,6,9]","[2,5,7]",A,2026-07-05 11:34:19.606476+05:30
