id,title,body,category,skill,difficulty,roles,source,created_at
101766,What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable file. Interpretation translates and executes code line by line without an executable.,Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101767,Explain the concept of polymorphism.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101768,Define encapsulation and give an example.,"Encapsulation bundles data and methods in a class, restricting direct data access. Example: class with private data and public methods.",Programming Languages,,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101769,"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.,Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101770,Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101771,What is the purpose of a constructor?,"A constructor initializes object properties upon class instantiation, ensuring a well-defined state.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101772,Explain the difference between stack and heap memory.,"Stack memory stores local variables and function calls; heap memory is for dynamic allocation. Stack operates in LIFO, heap managed manually or by garbage collection.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101773,"What is a design pattern, and can you name a few?","Design patterns are solutions to common design problems. Examples: Singleton, Factory, Observer, MVC.",Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101774,"Define the term ""DRY"" in software development.",DRY (Don't Repeat Yourself) advocates for avoiding code duplication by reusing existing code.,Programming Languages,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101775,What is the SOLID principle?,"SOLID represents five design principles for OOP: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion.",Programming Languages,,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101776,What is the difference between an array and a linked list?,"An array has fixed size and stores elements in contiguous memory; a linked list consists of nodes with data and references, allowing dynamic size.",DSA,,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101777,Explain the time complexity of an algorithm.,"Time complexity measures the time an algorithm takes relative to its input size, expressed in Big O notation.",DSA,,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101778,Describe the difference between a binary search tree and a hash table.,"A binary search tree is hierarchical, maintaining order; a hash table maps keys to values for fast retrieval, without maintaining order.",DSA,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101779,What is a linked list and how does it work?,"A linked list is a series of nodes each containing data and a reference to the next node, allowing dynamic memory allocation and efficient insertions/deletions.",DSA,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101780,Explain the concept of recursion.,"Recursion is when a function calls itself to solve subproblems, with a base case to terminate recursion.",DSA,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
101781,"What is Big O notation, and why is it important?","Big O notation describes the upper bound of algorithm time complexity, important for comparing efficiency and growth rates.",DSA,,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""ML Engineer""]",curated,2026-07-05 11:33:21.605466+05:30
